review_id,rating,review,aspects,overall_sentiment,escalate,severity,escalate_reason,review_quality,draft_response
0,3,"great location friendly staff spending month reading reviews searching hotels florence chose hotel europa nights june 14 16 2007 150 euros night 204.00 u.s. dollars night., wanted nice celebrating 30t","{""location"": ""positive"", ""staff"": ""positive"", ""cleanliness"": ""negative"", ""noise"": ""negative"", ""food"": ""neutral""}",neutral,False,low,,usable_with_edits,
1,1,"worst hotel experience, stayed mont blanc barcelona pre-cruise stay booked norwegian cruise lines 24 hours bag stolen inside hotel, thieves remained premises, husband__Ç_é_ intervention prevented goin","{""safety_security"": ""negative"", ""staff"": ""negative"", ""cleanliness"": ""neutral"", ""food"": ""neutral""}",negative,True,high,Theft from guest room / safe; hotel security failure; staff dismissive,usable_as_is,"Dear Guest, we are deeply concerned to hear about the theft from your room during your stay and the way your report was handled by our team. This falls well short of the security and service standard we hold ourselves to. We are escalating this to our security and management team for immediate investigation and will follow up with you directly. Please contact our general manager at your earliest convenience."
2,3,"excellent location hotel improved, things location hotel excellent, plenty bars shops restaurants activities nearby 20 minutes walk centre amsterdam red light district interested having look, lobby ar","{""location"": ""positive"", ""staff"": ""positive"", ""cleanliness"": ""negative"", ""value"": ""positive""}",neutral,False,low,,usable_as_is,
3,2,"not greatest stayed honeymoon, impressions thing ok problems location great cable car day area fisherman wharf buzzing activity night area quite seedy.. hooters street numerous homeless people begging","{""location"": ""neutral"", ""safety_security"": ""negative"", ""staff"": ""positive"", ""food"": ""neutral""}",negative,True,medium,Bag stolen at breakfast; guest safety concerns raised about surrounding area,usable_as_is,Thank you for sharing this feedback. We are sorry to hear about the theft during breakfast and the safety concerns you raised about the surrounding area. We are reviewing our monitoring and staff response procedures and would like to discuss this further -- please reach out to our front office manager directly.
4,5,"great location highly recommend hotel service reproach travelling baby cot provided clean new safe better holiday, room roomy clean furnishings fantastic nice homey just want want holiday, impressed m","{""location"": ""positive"", ""staff"": ""positive"", ""cleanliness"": ""positive"", ""room"": ""positive""}",positive,False,none,,usable_as_is,
5,1,"happen quality control arrived qt saturday sept 3 2005 1:00 notice tv did not work a/c did not work, reported receptionist morning 7:00, did not tv fitted 5th no a/c, day 7:00 ask receptionist repair ","{""amenities"": ""negative"", ""staff"": ""negative""}",negative,False,medium,,usable_as_is,
6,5,"just relax, vacation paradise, friends female 25 just returned flamenco week stay feb.24 mar.2nd, stunned beautiful surroundings immaculate grounds paradise-like setting, beach pool breathtaking, love","{""location"": ""positive"", ""staff"": ""positive"", ""food"": ""negative"", ""cleanliness"": ""negative""}",positive,False,low,,usable_with_edits,
7,3,"not nice hoped looking previous reviews hotel people love hate, fall, we__Ç_éÈe professional spanish-speaking brits aged 50 well-travelled latin america especially mexico chile, visited sunscape 15 29","{""food"": ""negative"", ""staff"": ""negative"", ""noise"": ""negative"", ""value"": ""negative"", ""safety_security"": ""negative""}",negative,True,medium,Cockroach sighting in room; charged extra for in-room safe,usable_as_is,"We are very sorry to hear about the pest sighting in your room and the friction over the in-room safe charge. Both issues have been flagged to our housekeeping and revenue teams for immediate review, and we will follow up on the safe fee separately."
8,5,"reviews not lie great place loved hotel, stayed sf westin mark hopkins maybe, far best hotel experience, quiet peaceful great location, stayed higher floor heard traffic nor noise, did not order servi","{""location"": ""positive"", ""staff"": ""positive"", ""cleanliness"": ""positive"", ""room"": ""positive""}",positive,False,none,,usable_as_is,
9,1,"rip, self husband just returned honeymoon evening n't wait let know terrible place secrets excellence, arrived noticed cockroaches surrounding minibar called rep excellence club going send spray night","{""cleanliness"": ""negative"", ""food"": ""negative"", ""health"": ""negative""}",negative,True,high,Cockroaches near minibar; guest reports illness during stay; plumbing failure,usable_as_is,"We sincerely apologize for the pest issue near the minibar and the plumbing problem in your bathroom, and for any illness experienced during your stay. This has been escalated to our facilities and health & safety team for urgent remediation, and we would like to make this right -- please contact us directly."
10,5,"n't believe read, fiance recently returned stay st ann, needless say reading reviews online apprehensive say, contacted manager hotel faxed copies reviews hotel concern stay not end like theirs, respo","{""staff"": ""positive"", ""value"": ""positive"", ""cleanliness"": ""negative"", ""room"": ""positive""}",positive,False,low,,usable_as_is,
11,4,"great start stayed tutu center weeks opened, rooms new beautiful large nicely appointed, building quite old rooms old character fireplaces original moldings etc.the service responsive professional.the","{""staff"": ""positive"", ""cleanliness"": ""positive"", ""noise"": ""positive"", ""amenities"": ""negative""}",positive,False,low,,usable_as_is,
12,5,"perfect vacation paradise n't understand negative reviews melia, 2nd visit absolutely perfect, visit wonderful, traveled vacation express flights pretty ontime checked melia upgraded royal service sui","{""location"": ""positive"", ""cleanliness"": ""positive"", ""food"": ""positive"", ""room"": ""positive""}",positive,False,none,,usable_as_is,
13,2,"nunca mas husband stayed th el san juan 6 days july disappointed, lobby lovely nostalgic elegant bygone era live music great property offer, rooms hallways dirtyand rundown, entire hotel including pre","{""cleanliness"": ""negative"", ""staff"": ""negative"", ""value"": ""negative""}",negative,True,medium,Pervasive mold/musty smell throughout hotel; staff unresponsive to repeated complaints,usable_as_is,"Thank you for your candid feedback. The mold/musty odor and lack of response from our team is not acceptable, and we are launching an immediate facilities review of affected rooms and retraining staff on complaint escalation."
14,5,"absolutely magnificent business trip florence booked stayed night hotel hotel bed bug infestation, managed rooms rivoli welcomed open arms incredible reception staff.the hotel clean nicely decorated g","{""cleanliness"": ""positive"", ""staff"": ""positive"", ""food"": ""positive"", ""location"": ""positive"", ""health"": ""negative""}",positive,True,high,"Guest reports the hotel had a bed bug infestation (guest was relocated), despite otherwise positive stay",usable_as_is,"We are grateful for your kind words about our team, and want to address the bed bug concern directly: the affected rooms have been taken offline for professional treatment and inspection, and all guests were relocated as a precaution. We take this seriously and are conducting a full property-wide inspection."
15,1,"n't stay, youth hostel, boyfriend stayed night hotel, looked web sight booked suite, looked stylish lacked comes function, impossibel sleep walls hear cuple door talking building designed lika amplifi","{""noise"": ""negative"", ""cleanliness"": ""negative"", ""staff"": ""positive""}",negative,False,low,,usable_with_edits,
16,1,"problems way stayed 2 nights, property not bad stayed room squeaky pipes, not pleasant thing woken 6 sound pipes squealing cause taking hot shower.they overcharged basically charged twice husband char","{""amenities"": ""negative"", ""billing"": ""negative""}",negative,True,medium,Guest was double-charged on their card and the hotel denied it,usable_as_is,"We apologize for the billing error and the frustration this caused. We have flagged the duplicate charge to our finance team for immediate reversal and confirmation, and a member of our team will contact you directly with resolution."
17,1,"tourists stay away bad address unless want rock concert right room stay away.it thursday night not holiday just ordinary day, started muted mid-evening earplugs, loudness increased decibels got high t","{""noise"": ""negative"", ""cleanliness"": ""negative""}",negative,False,medium,,usable_as_is,
18,1,"dump, christmas vacation family brother family, expected sun fun did not expect sick.i drank water did eat food.problems smelly dank dark rooms, no towels bath beach.stocked mini-bar 2 bottles water s","{""cleanliness"": ""negative"", ""food"": ""negative"", ""health"": ""negative""}",negative,True,high,"Guest reports becoming sick (illness) during stay, smelly/dark rooms",usable_as_is,"We are very sorry to hear you became unwell during your stay and about the condition of the room you describe. This has been escalated to our health & safety and housekeeping teams for urgent investigation, and we would like to follow up with you directly."
19,2,"good airport hotel booked hotel early departures, nights room comfortable air-conditioning awful, quiet open windows, non-smoking floor smoking allowed restaurants common areas, arriving hotel shuttle","{""amenities"": ""negative"", ""staff"": ""positive"", ""noise"": ""negative""}",neutral,False,low,,usable_as_is,
